Year,Sex,Name,Count
1996,Female,aaliyah,802
1996,Female,aarin,5
1996,Female,aaron,26
1996,Female,abagail,87
1996,Female,abbey,510
1996,Female,abbi,5
1996,Female,abbie,311
1996,Female,abbigail,235
1996,Female,abbigale,17
1996,Female,abby,1402
1996,Female,abbygail,8
1996,Female,abeer,5
1996,Female,abelina,5
1996,Female,abena,6
1996,Female,abigael,12
1996,Female,abigail,8601
1996,Female,abigale,74
1996,Female,abigayle,78
1996,Female,abilene,5
1996,Female,abreanna,5
1996,Female,abriana,16
1996,Female,abrianna,33
1996,Female,abril,62
1996,Female,abygail,6
1996,Female,acacia,58
1996,Female,ada,89
1996,Female,adahli,6
1996,Female,adair,5
1996,Female,adaline,5
1996,Female,adam,6
1996,Female,adara,17
1996,Female,addie,75
1996,Female,addison,396
1996,Female,addyson,6
1996,Female,adela,58
1996,Female,adelaida,12
1996,Female,adelaide,24
1996,Female,adele,32
1996,Female,adelina,28
1996,Female,adeline,71
1996,Female,adelita,7
1996,Female,adia,6
1996,Female,adilene,148
1996,Female,adina,62
1996,Female,aditi,19
1996,Female,adora,5
1996,Female,adreana,16
1996,Female,adreanna,15
1996,Female,adria,16
1996,Female,adrian,153
1996,Female,adriana,2082
1996,Female,adriane,10
1996,Female,adrianna,1027
1996,Female,adrianne,97
1996,Female,adrien,10
1996,Female,adrienne,550
1996,Female,adrina,9
1996,Female,aerial,45
1996,Female,aeriel,5
1996,Female,afsana,8
1996,Female,afton,5
1996,Female,agata,5
1996,Female,agnes,29
1996,Female,agueda,5
1996,Female,agustina,6
1996,Female,ahtziri,9
1996,Female,ahuva,13
1996,Female,aida,74
1996,Female,aidan,19
1996,Female,aide,80
1996,Female,aidee,27
1996,Female,aidel,8
1996,Female,aiden,5
1996,Female,aiesha,10
1996,Female,aigner,6
1996,Female,aileen,259
1996,Female,ailene,6
1996,Female,ailyn,17
1996,Female,aime,41
1996,Female,aimee,645
1996,Female,aine,11
1996,Female,ainsley,24
1996,Female,airiana,15
1996,Female,aisha,365
1996,Female,aishah,5
1996,Female,aisling,22
1996,Female,aislinn,38
1996,Female,aissatou,7
1996,Female,aitana,14
1996,Female,aiyana,53
1996,Female,aiza,5
1996,Female,aja,199
1996,Female,ajah,6
1996,Female,ajanae,6
1996,Female,ajee,5
1996,Female,ajia,6
1996,Female,akasha,22
1996,Female,akayla,5
1996,Female,akia,39
1996,Female,akila,6
1996,Female,akilah,66
1996,Female,akira,47
1996,Female,akua,6
1996,Female,alaa,9
1996,Female,alaina,649
1996,Female,alana,1128
1996,Female,alanah,24
1996,Female,alandra,5
1996,Female,alani,23
1996,Female,alanis,125
1996,Female,alanna,485
1996,Female,alannah,43
1996,Female,alaura,6
1996,Female,alayna,313
1996,Female,alaysia,13
1996,Female,alba,57
1996,Female,alberta,6
1996,Female,alden,5
1996,Female,alea,77
1996,Female,aleah,265
